priority_rank,junction_name,n_violations,total_risk,cii,cii_tier,dominant_type,dominant_vehicle,dominant_station,lat,lon,h3_cell,total_overlap_risk,avg_active_violations,max_active_violations,avg_overlap_multiplier,max_overlap_multiplier,road_factor,congestion_weight,vehicle_weight,delay_score,congestion_intensity,delay_index,vehicle_minutes_lost,person_minutes_lost,person_hours_lost,congestion_cost_rs,traffic_severity,traffic_impact_score,traffic_rank
1,BTP051 - Safina Plaza Junction,5887,30130,79.6,SEVERE,WRONG PARKING,SCOOTER,Shivajinagar,12.98190430301117,77.60697523529039,8861892e9bfffff,312155.0,12.048628671464696,76,6.524314335732348,38.5,5,3,1,31215500.0,53.02446067606591,100.0,31215500.0,46823250.0,780387.5,195096875.0,CRITICAL,88.05610673965106,1
1,BTP051 - Safina Plaza Junction,5887,30130,79.6,SEVERE,WRONG PARKING,SCOOTER,Shivajinagar,12.98190430301117,77.60697523529039,8861892e95fffff,312155.0,12.048628671464696,76,6.524314335732348,38.5,5,3,1,31215500.0,53.02446067606591,100.0,31215500.0,46823250.0,780387.5,195096875.0,CRITICAL,88.05610673965106,2
1,BTP051 - Safina Plaza Junction,5887,30130,79.6,SEVERE,WRONG PARKING,SCOOTER,Shivajinagar,12.98190430301117,77.60697523529039,8861892e93fffff,312155.0,12.048628671464696,76,6.524314335732348,38.5,5,3,1,31215500.0,53.02446067606591,100.0,31215500.0,46823250.0,780387.5,195096875.0,CRITICAL,88.05610673965106,3
1,BTP051 - Safina Plaza Junction,5887,30130,79.6,SEVERE,WRONG PARKING,SCOOTER,Shivajinagar,12.98190430301117,77.60697523529039,8861892e99fffff,312155.0,12.048628671464696,76,6.524314335732348,38.5,5,3,1,31215500.0,53.02446067606591,100.0,31215500.0,46823250.0,780387.5,195096875.0,CRITICAL,88.05610673965106,4
1,BTP051 - Safina Plaza Junction,5887,30130,79.6,SEVERE,WRONG PARKING,SCOOTER,Shivajinagar,12.98190430301117,77.60697523529039,8861892e9dfffff,312155.0,12.048628671464696,76,6.524314335732348,38.5,5,3,1,31215500.0,53.02446067606591,100.0,31215500.0,46823250.0,780387.5,195096875.0,CRITICAL,88.05610673965106,5
1,BTP051 - Safina Plaza Junction,5887,30130,79.6,SEVERE,WRONG PARKING,SCOOTER,Shivajinagar,12.98190430301117,77.60697523529039,8861892eb9fffff,312155.0,12.048628671464696,76,6.524314335732348,38.5,5,3,1,31215500.0,53.02446067606591,100.0,31215500.0,46823250.0,780387.5,195096875.0,CRITICAL,88.05610673965106,6
1,BTP051 - Safina Plaza Junction,5887,30130,79.6,SEVERE,WRONG PARKING,SCOOTER,Shivajinagar,12.98190430301117,77.60697523529039,8861892e8bfffff,312155.0,12.048628671464696,76,6.524314335732348,38.5,5,3,1,31215500.0,53.02446067606591,100.0,31215500.0,46823250.0,780387.5,195096875.0,CRITICAL,88.05610673965106,7
1,BTP051 - Safina Plaza Junction,5887,30130,79.6,SEVERE,WRONG PARKING,SCOOTER,Shivajinagar,12.98190430301117,77.60697523529039,88618925a5fffff,312155.0,12.048628671464696,76,6.524314335732348,38.5,5,3,1,31215500.0,53.02446067606591,100.0,31215500.0,46823250.0,780387.5,195096875.0,CRITICAL,88.05610673965106,8
1,BTP051 - Safina Plaza Junction,5887,30130,79.6,SEVERE,WRONG PARKING,SCOOTER,Shivajinagar,12.98190430301117,77.60697523529039,8861892e97fffff,312155.0,12.048628671464696,76,6.524314335732348,38.5,5,3,1,31215500.0,53.02446067606591,100.0,31215500.0,46823250.0,780387.5,195096875.0,CRITICAL,88.05610673965106,9
1,BTP051 - Safina Plaza Junction,5887,30130,79.6,SEVERE,WRONG PARKING,SCOOTER,Shivajinagar,12.98190430301117,77.60697523529039,8861892e91fffff,312155.0,12.048628671464696,76,6.524314335732348,38.5,5,3,1,31215500.0,53.02446067606591,100.0,31215500.0,46823250.0,780387.5,195096875.0,CRITICAL,88.05610673965106,10
